overall_rank,amfi_code,scheme_name,fund_house,category,composite_score,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct,sharpe_ratio,sortino_ratio,alpha_pct,beta,expense_ratio_pct,max_drawdown_pct,worst_dd_peak_date,worst_dd_trough_date,tracking_error_pct
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,85.88,20.360678307711865,34.00091602163293,30.974107501859027,2.286977090079848,3.191546326038724,26.98375144191807,0.023683558075848623,1.46,-11.26572907502827,2023-07-11,2023-10-20,18.96636779215802
2,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,84.62,13.064279264417976,32.48742855621496,23.29511862010305,2.137269694567297,3.181802419085576,21.19482701352573,0.016232169761417007,0.8,-12.588275606922513,2022-10-04,2023-05-30,19.15870037972257
3,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,79.75,53.23239623092084,32.442459421956116,30.12315310072722,1.6184581929264807,2.2911546196852415,27.19535450128533,0.0051035258305283104,1.38,-16.21720857464485,2022-03-11,2022-05-12,22.869942052083108
4,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,79.75,22.261065131342207,35.11180209642853,28.214417193652032,1.7420057354853145,2.51635032634856,26.07666908004223,-0.06626542862803757,1.38,-20.960883862039193,2022-04-14,2022-08-11,23.765197701108367
5,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,79.38,29.604659337893647,31.777537151234704,32.82740607461121,1.5478113468173027,2.2533024521968534,29.26358334175106,0.000549004250631712,1.36,-18.188513572116292,2024-10-24,2025-01-23,23.19675096004632
6,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,78.5,26.657081760850154,29.58277033726251,30.907454754005492,1.7156383093927448,2.6288279328224182,27.330465038306055,-0.02282956979242654,1.45,-12.97396816518679,2022-03-07,2022-04-13,20.642496841144062
7,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,75.06,60.43734071403091,30.456524420302888,25.804686425584002,2.058732290901694,3.0881399478665683,23.201007160635083,-0.03175144113890972,1.54,-15.012385498645333,2023-08-24,2024-02-05,19.118256851630818
8,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,70.31,47.92412023860102,28.96769452874166,23.53836133468803,1.8218856365482567,2.701833684759028,21.399784776051213,0.02108631625012803,1.6,-11.291596329323077,2023-04-24,2023-07-05,19.27064051369653
9,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,68.94,39.75176148971702,29.178901578393777,31.94952310833252,1.5155084750619499,2.2307930575035333,28.27036785246582,0.018133884083859245,1.6,-16.396742946932633,2023-08-10,2023-10-20,21.736518889258573
10,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,63.19,65.13871892998797,27.000426614519245,32.287440451573616,0.9753244228468606,1.4074631471456374,30.05787817097677,0.011455159960520708,1.52,-31.17190030063422,2024-05-03,2025-01-03,27.917030841826744
11,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,63.06,33.9810484550213,22.652359830098632,24.049492662391756,1.3484938533626751,1.9527314397897766,21.829397904608644,-0.008353832126962021,1.51,-17.41407508665723,2024-01-02,2024-07-19,19.2115192503901
12,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,62.62,21.481222193726257,26.869990828902203,29.581086910433996,1.3559295105666649,1.9011569096467005,26.598577542043046,-0.002523004664699247,1.61,-17.24810575345138,2022-06-06,2022-10-24,21.952116319885416
13,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,62.62,82.77605861507405,26.66992200118774,32.423536152454616,0.9481451741685459,1.4218454159809641,30.336965386983323,-0.023196062044059693,1.43,-28.706005721764555,2024-08-28,2025-05-14,28.388145413326672
14,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,62.56,25.539980483954096,21.08997654925684,16.274217354504273,1.2320048444275375,1.8650841836811662,15.643835948169668,-0.03663900671860934,0.72,-18.629743138595508,2023-10-30,2024-02-29,19.344939246000745
15,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,61.12,22.493224932249344,20.00820838047148,15.957231179671737,1.2296614769869534,1.7808302019387985,15.136354648239239,-0.001433521389780133,0.89,-11.650624505409093,2022-01-03,2022-06-09,18.307639338664934
16,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,59.5,7.42505077613469,7.394286300360076,7.237539728384412,1.9459863785750873,3.8428542658630085,6.746210411099539,-0.0004440926329707234,0.74,-0.09773140045925681,2025-10-16,2025-10-20,12.90435755950335
17,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,58.25,28.67535802656873,18.434488610520173,19.017795344711462,0.9614887156813535,1.395491444509522,17.729754927531765,0.04882040425957739,0.92,-15.200013055606393,2023-12-22,2025-01-01,19.107208897596127
18,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,58.12,5.706100044974027,16.267372294624916,21.524235873769705,0.8278310653483432,1.1832594949879525,19.86859936686296,-0.026159307513513405,0.66,-11.8034935027643,2024-05-21,2024-09-02,19.212721030300678
19,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,54.75,19.7667410165155,20.816771175535862,7.897557854375958,1.2107389924258334,1.746404554468473,8.232801295222094,0.02588321244009315,0.75,-21.75139637014823,2022-02-24,2023-05-22,18.78998377218692
20,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,54.62,20.207703983094838,19.66726206830185,18.23237888770595,1.2120379866931648,1.8023787605182422,17.048756803412697,-0.019486785689474526,1.57,-10.859862152502323,2022-02-03,2022-03-29,18.368034296960943
21,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,52.69,13.5831349444816,25.556187904126524,16.84112024730753,1.4294370060591934,2.125207983896354,16.211256794033254,0.016682689437770827,1.64,-21.53982711238323,2022-01-03,2022-07-04,20.221623215661825
22,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,48.88,41.81904829701364,18.421996537444542,17.08486725575018,0.9252348401769782,1.322025414128274,16.25385327998104,0.04189646272811977,1.41,-19.82565826298267,2023-03-31,2023-08-14,19.600483949857455
23,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,48.25,8.489081269294418,13.978381933703044,18.785325598262204,0.6364840152311461,0.9030855466283391,17.703302365844074,-0.0402689523698206,1.42,-13.897862823061635,2023-09-19,2023-11-09,19.294776031543666
24,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,46.44,18.11115252275146,18.04420648663614,13.393275924001857,0.9508032888929036,1.3209025189106407,13.173190226099432,-0.004050271130006534,1.54,-14.844576917771747,2022-01-03,2022-02-04,19.326406331048716
25,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,46.19,14.269394138778924,14.748035533586012,22.516869007113847,0.6316326987421981,0.9422805761572294,20.873010086942337,-0.026387719943843004,1.52,-15.27259422823477,2023-09-05,2024-01-24,20.321345225145677
26,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,45.12,7.120323042122512,6.695971624586994,6.915272985067156,0.41587083083961496,0.8075510200908427,6.4556774953759986,-0.00040074423947840013,0.6,-0.11629327956168764,2024-04-12,2024-04-30,12.904556781048557
27,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,41.12,15.443720834451845,11.245222866621418,11.301817123279978,0.3057450975350817,0.4376378565184112,11.98910097121797,0.009054412621739154,0.78,-21.117279560132122,2025-04-04,2025-09-12,22.35920824296721
28,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,40.25,16.837098075385626,17.26727508371786,13.53221114899239,0.9453782339132585,1.3956229945734593,13.042924450705446,0.036356399022199795,1.59,-17.573614164687285,2024-01-09,2025-02-14,18.31187841857632
29,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,37.12,5.5219955107626895,5.840358798463097,5.889418716346717,-0.19644958702324128,-0.2765023854923877,5.620895216638369,-0.006413850728276477,0.77,-4.328728923970098,2024-09-16,2025-04-01,13.564645267040476
30,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,36.88,7.23664530138024,6.315784491375509,6.509026855465327,-0.3988550095357503,-0.7497531547002236,6.086145795787115,0.00026670968338238433,0.79,-0.16224980244717319,2023-09-05,2023-09-12,12.89568921773665
31,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,35.44,15.811221971300938,8.007927728656083,16.373474033415757,0.07063897216968337,0.0993833908834384,17.50072167561127,0.1034966369133759,1.53,-23.34488614483311,2025-04-09,2026-02-20,27.72863739829558
32,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,34.25,10.454939683040276,4.062205023777143,5.316889625171273,-0.7227919056543768,-1.0522653940103017,5.074772999976104,0.0012566742731558458,0.55,-8.316361763638701,2023-02-09,2024-02-09,13.47582682889032
33,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,31.5,3.704968580461343,3.9163899571040384,4.458209619173137,-0.7819602393114863,-1.0987311558262867,4.281792031506088,0.0011582183155281463,0.56,-4.308263824636346,2023-05-23,2023-07-28,13.453514415585591
34,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,27.88,22.50195657587366,7.756003551327284,6.701543482038463,0.08300810342601324,0.11515878324927874,7.80443887615508,0.01805687420811816,1.56,-24.003511326274882,2023-11-09,2024-10-17,21.91693759423835
35,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,23.56,13.947803355189968,-1.337386614488112,2.054484701809378,-0.3715268515012377,-0.5184626259305254,4.882421594553985,0.06200180438267168,0.72,-52.574221170128496,2023-01-17,2025-10-28,27.71351379626376
